Route File,Prefix,Method,Path,Full Endpoint,Domain,Tags,Description
# =====================================
# CORE ROUTES (api/routes/core_routes.py)
# =====================================
core_routes.py,/api,GET,/health,/api/health,System,core,Health check
core_routes.py,/api,GET,/system/status,/api/system/status,System,core,System status
core_routes.py,/api,GET,/market/status,/api/market/status,Market Data,core,Market hours status
core_routes.py,/api,GET,/market/tickers,/api/market/tickers,Market Data,core,Get ticker prices
core_routes.py,/api,GET,/market/quote/{symbol},/api/market/quote/{symbol},Market Data,core,Get detailed quote
core_routes.py,/api,GET,/market/bars/{symbol},/api/market/bars/{symbol},Market Data,core,Get OHLCV bars
core_routes.py,/api,GET,/market/snapshot/{symbol},/api/market/snapshot/{symbol},Market Data,core,Market snapshot
core_routes.py,/api,GET,/brain-v6/status,/api/brain-v6/status,Brain/ML,core,PropFirm Brain V6 status
core_routes.py,/api,GET,/feedback/status,/api/feedback/status,Brain/ML,core,Feedback loop status
core_routes.py,/api,GET,/signals,/api/signals,Trading,core,Get all signals
core_routes.py,/api,GET,/signals/active,/api/signals/active,Trading,core,Get active signals
core_routes.py,/api,GET,/positions,/api/positions,Trading,core,Get positions
core_routes.py,/api,GET,/portfolio,/api/portfolio,Portfolio,core,Get portfolio
core_routes.py,/api,GET,/portfolio/performance,/api/portfolio/performance,Portfolio,core,Portfolio performance
core_routes.py,/api,GET,/risk/metrics,/api/risk/metrics,Risk,core,Risk metrics
core_routes.py,/api,GET,/risk/safety,/api/risk/safety,Risk,core,Safety status
core_routes.py,/api,GET,/ml/regime,/api/ml/regime,Brain/ML,core,ML regime detection
core_routes.py,/api,GET,/news,/api/news,Research,core,Get news
core_routes.py,/api,GET,/settings,/api/settings,System,core,Get settings
core_routes.py,/api,GET,/settings/api-keys,/api/settings/api-keys,System,core,Get API keys
core_routes.py,/api,GET,/strategies,/api/strategies,Trading,core,List strategies
core_routes.py,/api,GET,/strategies/{strategy_id},/api/strategies/{strategy_id},Trading,core,Get strategy details
core_routes.py,/api,GET,/portfolio/live,/api/portfolio/live,Portfolio,core,Live portfolio
core_routes.py,/api,GET,/portfolio/positions,/api/portfolio/positions,Portfolio,core,Portfolio positions
core_routes.py,/api,GET,/portfolio/position/{symbol},/api/portfolio/position/{symbol},Portfolio,core,Get position by symbol
core_routes.py,/api,POST,/portfolio/trade,/api/portfolio/trade,Trading,core,Execute trade
core_routes.py,/api,DELETE,/portfolio/position/{symbol},/api/portfolio/position/{symbol},Trading,core,Close position
core_routes.py,/api,GET,/portfolio/risk,/api/portfolio/risk,Risk,core,Portfolio risk
core_routes.py,/api,GET,/portfolio/trades,/api/portfolio/trades,Trading,core,Get trades history
core_routes.py,/api,GET,/regime/detect,/api/regime/detect,Brain/ML,core,HMM regime detection
core_routes.py,/api,GET,/risk/report,/api/risk/report,Risk,core,CVaR/VaR risk report
core_routes.py,/api,POST,/brain/analyze,/api/brain/analyze,Brain/ML,core,Brain analysis
core_routes.py,/api,GET,/brain/status,/api/brain/status,Brain/ML,core,Brain status
core_routes.py,/api,POST,/backtest/run,/api/backtest/run,Backtest,core,Run backtest
core_routes.py,/api,POST,/monte-carlo/simulate,/api/monte-carlo/simulate,Backtest,core,Monte Carlo simulation
core_routes.py,/api,GET,/agents/status,/api/agents/status,Brain/ML,core,Multi-agent status
core_routes.py,/api,POST,/agents/consensus,/api/agents/consensus,Brain/ML,core,Get consensus signal
core_routes.py,/api,POST,/agents/portfolio,/api/agents/portfolio,Brain/ML,core,Portfolio allocation
# =====================================
# BRAIN ROUTES (api/routes/brain_routes.py)
# =====================================
brain_routes.py,/brain,GET,/status,/brain/status,Brain/ML,ML Brain,Brain status
brain_routes.py,/brain,POST,/initialize,/brain/initialize,Brain/ML,ML Brain,Initialize brain
brain_routes.py,/brain,POST,/signal/generate,/brain/signal/generate,Brain/ML,ML Brain,Generate signal
brain_routes.py,/brain,POST,/signal/multi-timeframe,/brain/signal/multi-timeframe,Brain/ML,ML Brain,Multi-timeframe signal
brain_routes.py,/brain,GET,/signals/history,/brain/signals/history,Brain/ML,ML Brain,Signal history
brain_routes.py,/brain,GET,/features/importance,/brain/features/importance,Brain/ML,ML Brain,Feature importance
brain_routes.py,/brain,GET,/bots,/brain/bots,Brain/ML,ML Brain,List bots
brain_routes.py,/brain,GET,/bots/{bot_id},/brain/bots/{bot_id},Brain/ML,ML Brain,Get bot details
brain_routes.py,/brain,GET,/bots/{bot_id}/trades,/brain/bots/{bot_id}/trades,Brain/ML,ML Brain,Bot trade history
brain_routes.py,/brain,GET,/performance,/brain/performance,Brain/ML,ML Brain,Performance metrics
brain_routes.py,/brain,POST,/pipeline/start,/brain/pipeline/start,Brain/ML,ML Brain,Start ML pipeline
brain_routes.py,/brain,POST,/pipeline/stop,/brain/pipeline/stop,Brain/ML,ML Brain,Stop ML pipeline
brain_routes.py,/brain,GET,/pipeline/status,/brain/pipeline/status,Brain/ML,ML Brain,Pipeline status
# =====================================
# TAX ROUTES (api/routes/tax_routes.py)
# =====================================
tax_routes.py,/tax,POST,/purchase,/tax/purchase,Accounting,tax,Record purchase
tax_routes.py,/tax,POST,/sale,/tax/sale,Accounting,tax,Record sale
tax_routes.py,/tax,GET,/positions,/tax/positions,Accounting,tax,Get tax positions
tax_routes.py,/tax,GET,/positions/{symbol},/tax/positions/{symbol},Accounting,tax,Get position by symbol
tax_routes.py,/tax,POST,/unrealized-gains,/tax/unrealized-gains,Accounting,tax,Unrealized gains
tax_routes.py,/tax,GET,/realized-gains,/tax/realized-gains,Accounting,tax,Realized gains
tax_routes.py,/tax,POST,/tax-loss-harvesting,/tax/tax-loss-harvesting,Accounting,tax,Tax loss harvesting
tax_routes.py,/tax,GET,/form-8949/{year},/tax/form-8949/{year},Accounting,tax,Form 8949 data
tax_routes.py,/tax,POST,/cost-basis-method,/tax/cost-basis-method,Accounting,tax,Set cost basis method
tax_routes.py,/tax,GET,/cost-basis-method/{symbol},/tax/cost-basis-method/{symbol},Accounting,tax,Get cost basis method
tax_routes.py,/tax,GET,/closed-lots,/tax/closed-lots,Accounting,tax,Closed lots
tax_routes.py,/tax,POST,/save,/tax/save,Accounting,tax,Save tax data
tax_routes.py,/tax,POST,/load,/tax/load,Accounting,tax,Load tax data
tax_routes.py,/tax,GET,/summary,/tax/summary,Accounting,tax,Tax summary
# =====================================
# RECONCILIATION ROUTES (api/routes/reconciliation_routes.py)
# =====================================
reconciliation_routes.py,/reconciliation,POST,/run,/reconciliation/run,Accounting,reconciliation,Run reconciliation
reconciliation_routes.py,/reconciliation,POST,/broker/register,/reconciliation/broker/register,Accounting,reconciliation,Register broker
reconciliation_routes.py,/reconciliation,GET,/brokers,/reconciliation/brokers,Accounting,reconciliation,List brokers
reconciliation_routes.py,/reconciliation,GET,/reports,/reconciliation/reports,Accounting,reconciliation,List reports
reconciliation_routes.py,/reconciliation,GET,/reports/{report_id},/reconciliation/reports/{report_id},Accounting,reconciliation,Get report
reconciliation_routes.py,/reconciliation,GET,/reports/{report_id}/audit,/reconciliation/reports/{report_id}/audit,Accounting,reconciliation,Report audit trail
reconciliation_routes.py,/reconciliation,GET,/discrepancies,/reconciliation/discrepancies,Accounting,reconciliation,List discrepancies
reconciliation_routes.py,/reconciliation,POST,/discrepancies/resolve,/reconciliation/discrepancies/resolve,Accounting,reconciliation,Resolve discrepancy
reconciliation_routes.py,/reconciliation,GET,/discrepancies/summary,/reconciliation/discrepancies/summary,Accounting,reconciliation,Discrepancies summary
reconciliation_routes.py,/reconciliation,POST,/schedule/run,/reconciliation/schedule/run,Accounting,reconciliation,Scheduled reconciliation
reconciliation_routes.py,/reconciliation,GET,/config,/reconciliation/config,Accounting,reconciliation,Get config
reconciliation_routes.py,/reconciliation,POST,/config,/reconciliation/config,Accounting,reconciliation,Update config
reconciliation_routes.py,/reconciliation,GET,/health,/reconciliation/health,Accounting,reconciliation,Health check
# =====================================
# MOBILE API (api/routes/mobile_api.py)
# =====================================
mobile_api.py,/mobile/v1,GET,/summary,/mobile/v1/summary,Mobile,mobile,Portfolio summary
mobile_api.py,/mobile/v1,GET,/positions,/mobile/v1/positions,Mobile,mobile,Positions list
mobile_api.py,/mobile/v1,GET,/strategies,/mobile/v1/strategies,Mobile,mobile,Strategies list
mobile_api.py,/mobile/v1,GET,/alerts,/mobile/v1/alerts,Mobile,mobile,Alerts list
mobile_api.py,/mobile/v1,POST,/alerts/{alert_id}/acknowledge,/mobile/v1/alerts/{alert_id}/acknowledge,Mobile,mobile,Acknowledge alert
mobile_api.py,/mobile/v1,POST,/quick-action,/mobile/v1/quick-action,Mobile,mobile,Quick action
mobile_api.py,/mobile/v1,GET,/watchlist,/mobile/v1/watchlist,Mobile,mobile,Watchlist
mobile_api.py,/mobile/v1,GET,/market-status,/mobile/v1/market-status,Mobile,mobile,Market status
mobile_api.py,/mobile/v1,GET,/notifications/settings,/mobile/v1/notifications/settings,Mobile,mobile,Notification settings
mobile_api.py,/mobile/v1,PUT,/notifications/settings,/mobile/v1/notifications/settings,Mobile,mobile,Update notifications
mobile_api.py,/mobile/v1,POST,/notifications/test,/mobile/v1/notifications/test,Mobile,mobile,Test notification
mobile_api.py,/mobile/v1,GET,/chart/{symbol},/mobile/v1/chart/{symbol},Mobile,mobile,Chart data
mobile_api.py,/mobile/v1,GET,/health,/mobile/v1/health,Mobile,mobile,Health check
# =====================================
# OPTIONS FLOW (api/routes/options_flow_routes.py)
# =====================================
options_flow_routes.py,/api/v1/options-flow,GET,/unusual,/api/v1/options-flow/unusual,Options,Options Flow,Unusual activity
options_flow_routes.py,/api/v1/options-flow,GET,/gamma-exposure/{symbol},/api/v1/options-flow/gamma-exposure/{symbol},Options,Options Flow,Gamma exposure
options_flow_routes.py,/api/v1/options-flow,GET,/dark-pool,/api/v1/options-flow/dark-pool,Options,Options Flow,Dark pool activity
options_flow_routes.py,/api/v1/options-flow,GET,/signals,/api/v1/options-flow/signals,Options,Options Flow,Flow signals
options_flow_routes.py,/api/v1/options-flow,GET,/smart-money,/api/v1/options-flow/smart-money,Options,Options Flow,Smart money
# =====================================
# MICROSTRUCTURE (api/routes/microstructure_routes.py)
# =====================================
microstructure_routes.py,/api/v1/microstructure,GET,/orderbook/{symbol},/api/v1/microstructure/orderbook/{symbol},Microstructure,Microstructure,Order book
microstructure_routes.py,/api/v1/microstructure,GET,/imbalance/{symbol},/api/v1/microstructure/imbalance/{symbol},Microstructure,Microstructure,Order imbalance
microstructure_routes.py,/api/v1/microstructure,GET,/tape/{symbol},/api/v1/microstructure/tape/{symbol},Microstructure,Microstructure,Time & sales tape
microstructure_routes.py,/api/v1/microstructure,GET,/tape/{symbol}/analysis,/api/v1/microstructure/tape/{symbol}/analysis,Microstructure,Microstructure,Tape analysis
microstructure_routes.py,/api/v1/microstructure,GET,/models/metrics,/api/v1/microstructure/models/metrics,Microstructure,Microstructure,Model metrics
microstructure_routes.py,/api/v1/microstructure,GET,/backtest/results,/api/v1/microstructure/backtest/results,Microstructure,Microstructure,Backtest results
